"titulo","precio","precioLista","imagenProducto"
"Lamicall Soporte para Tablet de Brazo Flexible - Soporte iPad con Cuello de Cisne para iPad Pro 10.5 10.2 9.7, iPad Mini, iPad Air, Switch, Kindle, Samsung Tabs, Otras 4-11 Pulgadas Tablets, Negro","529.00","$599.00","https://m.media-amazon.com/images/I/61qyKhv2aGS._AC_UL320_.jpg"
"1984","N/A","N/A","No disponible"
"Amazon Kindle Paperwhite Signature Edition (32 GB) – Con luz frontal autorregulable, carga inalámbrica, pantalla de 6.8 pulgadas y hasta 10 semanas de duración de la batería – Negro","N/A","N/A","No disponible"
"COCFOOKIW Funda para 6"" Kindle 11ª Generación 2022/2024, Modelo: RS23CV/C2V2L3，Cáscara Blanda Transparente Blanda Estuche con Función de Reposo/Activación Automática (5)","292.00","$29.63","https://m.media-amazon.com/images/I/61BaDZPw-UL._AC_UL320_.jpg"
"HGGWZWIF 2pcs Funda para Kindle Paperwhite 12ª Generación 2024 (7 Pulgadas) & Kindle Colorsoft Signature Edition ((7 Pulgadas), Paquete de 2 Transparente Case +Pegatinas de Lectura","299.00","$30.34","https://m.media-amazon.com/images/I/71deu0oH5JL._AC_UL320_.jpg"
"RSAquar Funda Transparente para 7"" Nuevo Kindle Paperwhite (12ª Generación 2024) & Kindle Colorsoft Signature Edition - Funda Trasera de Silicona Resistente a los Arañazos y Ligera (Transparente)","299.00","$349.00","https://m.media-amazon.com/images/I/71+YO84zcrL._AC_UL320_.jpg"
"JUNJIU Funda Plegable para Nuevo Kindle (Versión 11.ª Generación 2022), con Encendido/Apagado Automático, Funda Ligera con Correa de Mano,Flor de Albaricoque","439.00","$44.55","https://m.media-amazon.com/images/I/81NtP8w8dzL._AC_UL320_.jpg"
"No te creas todo lo que piensas: El sufrimiento empieza y termina en tu cabeza","N/A","N/A","No disponible"
"Antes de que se enfríe el café","N/A","N/A","No disponible"
"El sutil arte de que te importe un caraj* - Segunda Edición: Un enfoque disruptivo para vivir una buena vida","N/A","N/A","No disponible"
"ZCGOINGTECH Paquete de 2 Mica Protectores de Pantalla Transparentes HD para Kindle Paperwhite 12.a Generación 2024 y Kindle Colorsoft Signature Edition (7 Pulgadas)","229.00","$23.24","https://m.media-amazon.com/images/I/41bLM3l-XaL._AC_UL320_.jpg"
"Sycelu Marcador de páginas con Control Remoto RF para Kindle Paperwhite, Accesorios para iPad, Lectura de Kobo Surface Comics/Novels, iPhone, tabletas, Android, Toma Fotos (Negro)","439.99","$540.00","https://m.media-amazon.com/images/I/61rskQmrUzL._AC_UL320_.jpg"
"Yunir EReader 5 ”Audiolibros 16GBWifi, BT, GPS, FM, Audiolibros de Llamadas de Voz, de Página Más Rápidos","1,367.65","$138.81","https://m.media-amazon.com/images/I/71bcPdlOmYL._AC_UL320_.jpg"
"Lecciones de química","N/A","N/A","No disponible"
"Recupera tu mente, reconquista tu vida (Espasa Crecimiento personal)","N/A","N/A","No disponible"
"RSAquar Funda para 7"" Nuevo Kindle Paperwhite (12ª Generación 2024) & Kindle Colorsoft Signature Edition, Funda de protección Completa con Auto Sleep/Wake, Correa de Mano y Soporte Plegable - Negro","539.00","$599.00","https://m.media-amazon.com/images/I/81xsPR7kMNL._AC_UL320_.jpg"
"UGREEN Soporte de Almohada para Tablet Ajustable, Multifuncional Soporte Stand Base iPad para Usar en el Sofá Cama con 3 Ajustes, Compatible con iPad Pro 12.9, Air Mini, Galaxy Tab, Kindle, Switch","499.00","$50.64","https://m.media-amazon.com/images/I/71Bs2Ed3q6L._AC_UL320_.jpg"
"Paquete Kindle Paperwhite que incluye el Nuevo Kindle Paperwhite Signature Edition (32GB) - Negro y Funda de Cuero Premium - Color Nogal","4,198.99","$4,998.99","https://m.media-amazon.com/images/I/51iZiqAJ0jL._AC_UL320_.jpg"
"Kepuch 2 Paquetes Vidrio Templado Protector de Pantalla para Kindle 12th 2024 / Kindle 11th 6.0""","169.96","$17.25","https://m.media-amazon.com/images/I/51oosfDJtPL._AC_UL320_.jpg"
"Las 48 leyes del poder (Biblioteca Robert Greene)","N/A","N/A","No disponible"
"Paquete Kindle Paperwhite que incluye el Nuevo Kindle Paperwhite (16GB) - Negro y Funda de Cuero Premium - Color Nogal","3,598.99","$4,198.99","https://m.media-amazon.com/images/I/51iZiqAJ0jL._AC_UL320_.jpg"
"La biblioteca de la medianoche","N/A","N/A","No disponible"
"PUBAMALL Funda Compatible para Kindle Paperwhite (11th Generation-2021), con la función Auto Sleep Wake, para Kindle Paperwhite 2021, 6.8 Inch y Kindle Paperwhite Signature Edition (Negro)","194.10","$239.00","https://m.media-amazon.com/images/I/81kuFZRGnRL._AC_UL320_.jpg"
"USTIYA Funda para Kindle Paperwhite 12 generacion 2024 7 Pulgadas Carcasa Cuero Protectora TPU+PU Smart Cover (Rosa)","299.90","$30.43","https://m.media-amazon.com/images/I/51iCNfQcpsL._AC_UL320_.jpg"
"El mundo de Sofia: Novela sobre la historia de la filosofía (Las Tres Edades / Biblioteca Gaarder nº 1)","N/A","N/A","No disponible"
"No estás en la lista","N/A","N/A","No disponible"
"Harry Potter y el prisionero de Azkaban","N/A","N/A","No disponible"
"HGGWZWIF Funda Compatible para 6 Pulgadas Kindle All-New (11ª Generación - Lanzamiento 2024/2022) con Pegatinas de Lectura, TPU+Acrílico Transparente Carcasa con la función Auto Sleep Wake (Negro)","349.00","$35.42","https://m.media-amazon.com/images/I/71K50Lm-vmL._AC_UL320_.jpg"
"El libro secreto de los Reptilianos: 10 entrevistas con el poder oculto","N/A","N/A","No disponible"
"Funda Amazon Kindle, funda protectora plegable fina y ligera - Tela","599.99","$60.89","https://m.media-amazon.com/images/I/81OHb4Ca+KL._AC_UL320_.jpg"
"Cubierta de piel para la Kindle Paperwhite (11va generación, 2021)","799.99","$81.19","https://m.media-amazon.com/images/I/51ApUsnAryL._AC_UL320_.jpg"
"woleyi Soporte para Tablet Cama de Brazo Articulado, Brazo Tablet Mesa Metálico Pinza Ajustable para iPad Pro, iPad Mini, iPad Air, Switch, Kindle, Samsung Tabs, 4-13 Pulgadas Tablets, Cámara, Gopro","1,199.99","$121.79","https://m.media-amazon.com/images/I/61dJIwadKIL._AC_UL320_.jpg"
"woleyi - Soporte magnético para tablet Magsafe para montaje en pared, paquete de 2 bases de taladro para iPad Pro Air Mini | Galaxy Tab | Kindle Fire | Interruptor | teléfono, para cocina, hogar,","789.99","$80.18","https://m.media-amazon.com/images/I/71sVon57xlL._AC_UL320_.jpg"
"Pasador de Página con Control Remoto para for Kindle, Clicker de Volteador de Página Bluetooth para iOS/Android/tabletas Lectura de Novelas, Me Gusta Rápido, Cambio de Página de","367.00","$37.25","https://m.media-amazon.com/images/I/51kDzdzY-iL._AC_UL320_.jpg"
"SEASKY Soporte deTablet Mesa Cuello Cisne, Soporte Tablet de Brazo Flexible, Rotación Flexible de 360°, para 4-13"" Celular y Tablets como Tablet,para iPad Pro, Air, Mini,E-Reader, Kindle","332.99","$369.99","https://m.media-amazon.com/images/I/61+c0NvTD4L._AC_UL320_.jpg"
"Lector de Libros Electrónicos de 1+16 GB, Lector de Libros con Pantalla Táctil de 5,76 Pulgadas, para Android 8.1, Lector de Libros Eléctrico Portátil Eink","2,385.00","$2,588.60","https://m.media-amazon.com/images/I/61QuHY3gTJL._AC_UL320_.jpg"
"Lector Electrónico Portátil de 7 Pulgadas, Lector de Libros Electrónicos de Lectura de Libros Digitales con Pantalla Colorida a Prueba de Agua, Lector Eléctrico de 2100 MAh con","1,722.00","$174.78","https://m.media-amazon.com/images/I/6189Z1MANDL._AC_UL320_.jpg"
"ASHATA Lector de Libros Electrónicos con Pantalla Táctil LCD a Color de 5 Pulgadas y 1+8 GB, Lector Electrónico, Lector de Libros Electrónicos WiFi BT FM Lector de Libros Digitales","1,437.04","$145.85","https://m.media-amazon.com/images/I/71JFus3pczL._AC_UL320_.jpg"
"Lector de Libros Electrónicos con Pantalla a Color de 5 Pulgadas, Lector de Libros con Pantalla LCD de 2+16 GB para PDF EPUB EPUB3 MOBI, con BT, GPS, FM, Llamada de Voz para Android 5.1","1,250.96","$1,706.60","https://m.media-amazon.com/images/I/61Dlmvi5oWL._AC_UL320_.jpg"
"STHIRA Soporte Tablet Automovil, Ajustable Brazo Retráctil Clip, Soporte iPad Reposacabezas Giro de 360 ° Auto Coche Carro para 4.7-13"" Celular y Tablets/Samsung Tab/iPad Pro Air/Mini E-Reader Kindle","179.00","$59.66","https://m.media-amazon.com/images/I/71geES9gokL._AC_UL320_.jpg"
"JESWO Soporte para Tablet Automovil, Soporte para iPad Reposacabezas de Carro, Ajustable Soporte Tablet Auto para 4.6-12.9'', Soporte iPad Auto para iPad Pro, Air, Mini, Kindle, Huawei Tab, etc.","159.20","$199.00","https://m.media-amazon.com/images/I/61-+lxtU1bL._AC_UL320_.jpg"
"El hombre en busca de sentido","N/A","N/A","No disponible"
"Si lo crees, lo creas","N/A","N/A","No disponible"
"¿ Cómo trabajar de forma más eficaz y sencilla ?: Guía práctica para vencer la procrastinación, retomar el control de tu vida, alcanzar tus objetivos y ... (Dominar el arte de la productividad nº 2)","N/A","N/A","No disponible"
"Lector de Libros Electrónicos con Pantalla a Color de 5 Pulgadas, Lector de Libros con Pantalla LCD de 2+16 GB para PDF EPUB EPUB3 MOBI, con BT, GPS, FM, Llamada de Voz para Android 5.1","1,250.96","$1,706.60","https://m.media-amazon.com/images/I/61Dlmvi5oWL._AC_UL320_.jpg"
"Cómo manipular sin que nadie lo note: Técnicas sutiles de poder emocional, influencia invisible y control cotidiano","N/A","N/A","No disponible"
"Las 20 leyes de la astucia: Selecciona (Estrategias y estratagemas)","N/A","N/A","No disponible"
"HGGWZWIF 2pcs Funda para Kindle (Versión 11.ª Generación 2024/2022 6 Pulgadas), Paquete de 2 Transparente Case +Pegatinas de Lectura,Silicona TPU Antigolpes Clear Carcasa para e-Book Reader","349.00","$599.00","https://m.media-amazon.com/images/I/71DF89RAV3L._AC_UL320_.jpg"
"The Agatha Christie Collection: A Definitive Library of Suspense, Deception, and Brilliant Detective Work (English Edition)","N/A","N/A","No disponible"
"Illuminati: El Ojo que Todo lo Ve y la Agenda que No Puedes Escapar: Rituales, Símbolos y secretos del poder oculto que domina gobiernos, medios y tu mente sin que lo notes","N/A","N/A","No disponible"
"El Archivo Prohibido del Vaticano: Verdades enterradas, rituales malditos y el legado oculto que podría cambiar la historia de la humanidad","N/A","N/A","No disponible"
"Yctze Lector de Libros Electrónicos Portátil con Pantalla Colorida de 7 Pulgadas, Compatible con Tarjetas de Memoria y Periféricos, Ideal para Libros Electrónicos Kindle Edición","1,425.00","$144.63","https://m.media-amazon.com/images/I/61TH+YrDc-L._AC_UL320_.jpg"
"The Art of Option Buying: Master the Market: Proven Strategies to Profit from Buying Options (English Edition)","N/A","N/A","No disponible"
"Consíguelo Sin Esfuerzo : El método mental más simple para lograr lo que deseas sin rogar, empujar ni estresarte","N/A","N/A","No disponible"
"Fintie Funda para Kindle Paperwhite de 6,8"" (11.ª generación - 2021) y Kindle Paperwhite Signature Edition, Funda de sintética Ligera de Primera Calidad con función de Reposo/activación automática","289.00","$329.00","https://m.media-amazon.com/images/I/8131nK5UJ4L._AC_UL320_.jpg"
"Cómo Dominar tus Pensamientos Negativos: La guía definitiva para transformar tu mente en 5 minutos diarios: Método DOMINAR para reducir la ansiedad y eliminar la preocupación","N/A","N/A","No disponible"
"Después de ti: Cómo sanar escribiendo","N/A","N/A","No disponible"
"De niño a hombre","135.45","$219.00","https://m.media-amazon.com/images/I/811eKeLsBRL._AC_UL320_.jpg"
"RSAquar Funda para 7"" Nuevo Kindle Paperwhite (12ª Generación 2024) & Kindle Colorsoft Signature Edition, Funda de protección Completa con Auto Sleep/Wake, Correa de Mano y Soporte Plegable - Negro","539.00","$599.00","https://m.media-amazon.com/images/I/81xsPR7kMNL._AC_UL320_.jpg"
"Balabow Funda para Kindle Paperwhite de 7 Pulgadas, 12.ª Generación, Versión 2024, Funda para Kindle Paperwhite 12 Generacion (Negro, 12ª generación, 2024)","239.00","$24.25","https://m.media-amazon.com/images/I/71JJD3Tc5UL._AC_UL320_.jpg"
"Saga Maze Runner (4 Libros)","683.23","$1,099.00","https://m.media-amazon.com/images/I/814sscbI3fL._AC_UL320_.jpg"
"Dios No Escribió la Biblia Revelaciones que Destruyen el Mito Sagrado: Lo que descubrís en este libro no es blasfemia… es historia, lógica y verdad.","N/A","N/A","No disponible"
"Contratado por el multimillonario: Los hermanos multimillonarios Libro 3","N/A","N/A","No disponible"
"Soulless Mates: The Crossroads (The Heartless Souls Book 1) (English Edition)","N/A","N/A","No disponible"
"EL CAMINO DE EIDAN (CRÓNICAS DE KAEL’THAR nº 1)","N/A","N/A","No disponible"
"El silencio de las sirenas","N/A","N/A","No disponible"
"Franz Kafka: Obras completas","N/A","N/A","No disponible"
"La maldición Van Gogh (Terror en familia)","0.00","$65.28","https://m.media-amazon.com/images/I/81mqKa7TpjL._AC_UL320_.jpg"
"Mecánica de Coches para Mortales: Sin Sudor ni Lágrimas: La Guía Definitiva para Entender y Mantener tu Vehículo","N/A","N/A","No disponible"
"Querido señor imposible: Novela Romantica Contemporanea","N/A","N/A","No disponible"
"Dentro del Monstruo 13 Psicópatas Reales que Destrozaron el Sueño Americano: Asesinos en serie, manipulación, rituales y horror sin redención en los rincones más oscuros de EE.UU.","N/A","N/A","No disponible"
"Remedios Naturales para la Salud: Recetas Caseras para Combatir la Inflamación y el Dolor","N/A","N/A","No disponible"
"Dracula [Kindle in Motion] (English Edition)","N/A","N/A","No disponible"
"PUBAMALL Funda para Kindle Paperwhite (10.ª generación - Modelo de 2018), con la función Auto Sleep Wake,para Kindle Paperwhite 10th Gen 2018 Released","197.10","$219.00","https://m.media-amazon.com/images/I/61ZuY6pVGgL._AC_UL320_.jpg"
"El Código 369: Neurociencia Cuántica de la Manifestación Consciente","N/A","N/A","No disponible"
"Aventuras en la Biblia: Heroes 2 - historias Biblicas para niños de 4 a 12 años (La biblia: colección de libros para leer y colorear)","N/A","N/A","No disponible"
"El Evangelio Perdido del Vaticano: María Magdalena, el hijo oculto y la verdad que el Papa jamás admitiría","N/A","N/A","No disponible"
"LILITH: Mujer y Demonio","N/A","N/A","No disponible"
"SENECESLI Lector de Libros Electrónicos, Lectores Electrónicos para Adolescentes, Adultos y Personas Mayores, 64 GB Ampliables, para Android 8.1, 1500 MAh, con Pantalla Eink de 5,76","1,676.00","$170.11","https://m.media-amazon.com/images/I/61tUTWzVocL._AC_UL320_.jpg"
"Dulce Como Arsénico","N/A","N/A","No disponible"
"Teotihuacán: Un apasionante repaso a la primera gran ciudad de Mesoamérica y su influencia en civilizaciones mesoamericanas como la maya y la Azteca (El Antiguo México)","N/A","N/A","No disponible"
"Domesticando a la hija del millonario: Novela Romantica Contemporanea","N/A","N/A","No disponible"
"Proyecto Verme: Ciclo Uno : Un thriller psicológico que explora los límites de la mente humana","N/A","N/A","No disponible"
"La Búsqueda del oráculo de Hércules","N/A","N/A","No disponible"
"El Kybalión de Hermes Trimegisto (Tabla de Esmeralda)","49.00","$63.31","https://m.media-amazon.com/images/I/A1A5mIISuZL._AC_UL320_.jpg"
"Tercer Ojo: La Guía Definitiva Para Activar Tu Glándula Pineal, Desarrollar Clarividencia Y Despertar Tu Visión Interior","N/A","N/A","No disponible"
"Alas de ónix (Empíreo 3) (Planeta Internacional)","N/A","N/A","No disponible"
"Hábitos Millonarios SMART: Pequeños cambios diarios para alcanzar la LIBERTAD FINANCIERA","0.00","$39.99","https://m.media-amazon.com/images/I/71DGGNlG1IL._AC_UL320_.jpg"
"Este dolor no es mío","139.45","$174.31","https://m.media-amazon.com/images/I/71jsrWn2xsL._AC_UL320_.jpg"
"CC- El Idiota Que Siempre Estuvo Ahí: Un romance que te romperá el corazón... y luego te lo curará. (CELESTE DE CORAL23 nº 12)","N/A","N/A","No disponible"
"CC- Nos Casamos Por Error: Una comedia romántica emocional que empieza con un error… y termina con un sí real. (CELESTE DE CORAL23 nº 16)","N/A","N/A","No disponible"
"IA PARA HUMANOS: Automatiza tu Vida con ChatGPT, Notion, Canva y Otras Herramientas que Harán el Trabajo por Ti (Sin Saber Programar)","N/A","N/A","No disponible"
"Agentes de IA para empresas: Cómo crear un equipo de empleados digitales con inteligencia artificial para acelerar el marketing, triplicar las ventas y automatizar tu negocio","N/A","N/A","No disponible"
"RSAquar Funda Compatible con 7"" Nuevo Kindle Paperwhite (12ª Generación 2024) & Kindle Colorsoft Signature Edition, Funda Protectora Delgada con Auto Sleep/Wake - Negro","359.00","$399.00","https://m.media-amazon.com/images/I/819MCulMQfL._AC_UL320_.jpg"
"TOPOST Funda Compatible con Kindle 6 Pulgadas 11ª Generacion 2024/2022 All-New con Función Auto Sleep Wake (Negro)","229.00","$23.24","https://m.media-amazon.com/images/I/81G5jTFePDL._AC_UL320_.jpg"
"ZIZEV Protector de Lector Electrónico, Exquisito Acabado en Cuero de Microfibra, Delicadamente Elaborado, Suave y Generoso, Estuche para Lector Electrónico Kindle Paperwhite (Recuerdo","424.81","$43.11","https://m.media-amazon.com/images/I/71C1nU59FJL._AC_UL320_.jpg"
"Kepuch 2 Paquetes Vidrio Templado Protector de Pantalla para Kindle Paperwhite 11th 2021 6.8""/Paperwhite 5/Signature Edition/Kids","249.96","$25.37","https://m.media-amazon.com/images/I/51eVwdR3jsL._AC_UL320_.jpg"
"ASHATA Lector de Libros Electrónicos de 6 Pulgadas, Lector Electrónico Compacto y Liviano, Lector de Libros Eléctrico con Almacenamiento 8G, Lector de Libros con Pantalla de Tinta de","2,049.00","$207.97","https://m.media-amazon.com/images/I/71Xi9BWooYL._AC_UL320_.jpg"
"LEFUS Funda para Kindle Paperwhite 7 Pulgadas, 12ª Funda Kindle Paperwhite 2024 con la Función Auto Sleep Wake. (Invitación)","149.00","$15.12","https://m.media-amazon.com/images/I/71pvavU6LYL._AC_UL320_.jpg"
"Fockety Lector de Libros Electrónicos, 1 GB RAM 32GB ROM WiFi Diseinado de EReader Portátil con Pantalla de Tinta E de 5.76 Pulgadas, Tableta Epaper Amigable con los Ojos con Bluetooth (Blue)","2,497.00","$253.44","https://m.media-amazon.com/images/I/71SULGENTvL._AC_UL320_.jpg"
"Soporte para Tablet Automovil Ajustable Reposacabezas - Soporte Giro de 360 °, Soporte Reposacabezas Auto Coche Carro para 4.7-12.9"", Brazo de Extensión, para iPad Pro, Air, Mini, E-reader, Kindle","129.99","$13.19","https://m.media-amazon.com/images/I/61e0ALHdvML._AC_UL320_.jpg"
"MoKo Soft Hand Strap for 6-8"" Kindle eReaders Fire Tablet -Kindle/Kobo/Voyaga/Lenovo/Sony Kindle E-Book Tablet, Black High-Elasticity Versatile Hand Strap Lightweight Finger Grip Holder","N/A","N/A","No disponible"
"Kobo Clara Colour | eReader | Pantalla antirreflectante a Color E Ink Kaleido™ 3 de 6"" | Modo Oscuro | Audiolibros | Impermeable | Negro","N/A","N/A","No disponible"
"Laurie (Flash Relatos)","N/A","N/A","No disponible"
"Dracula (English Edition)","N/A","N/A","No disponible"
"PUBAMALL Funda para Kindle (10ª generación - 2019), con la función Auto Sleep Wake, para Kindle 10th Gen 2019 Released (Azul Oscuro)","N/A","N/A","No disponible"
"Lector de Libros Electrónicos Portátil de 7 Pulgadas con Pantalla a Color de Resolución 800 * 480 Retroiluminación Incorporada con Cubierta de PU E-Reader Compatible con Tarjeta TF (Memoria 8G)","1,317.00","$133.67","https://m.media-amazon.com/images/I/61wmT594NmL._AC_UL320_.jpg"
"1984 (English Edition)","N/A","N/A","No disponible"
"Moby Dick (English Edition)","N/A","N/A","No disponible"
"Yunir EReader Pantalla Táctil de 5,76 Pulgadas ComfortLight, 16 GB de Almacenamiento, Opción de Modo Oscuro Audiolibros E Reader Amigable con la Vista","2,179.00","$221.16","https://m.media-amazon.com/images/I/61W5BNG2ajL._AC_UL320_.jpg"
"9 HÁBITOS JAPONESES: Que cambiarán tu vida","N/A","N/A","No disponible"
"CoBak - Funda para Kindle Paperwhite de 7 pulgadas 12ª generación 2024 y Colorsoft con correa de mano, soporte y carga inalámbrica compatible con MagSafe, para lectura diaria y protección de Kindle","N/A","N/A","No disponible"
"Funda de piel Amazon para Kindle Paperwhite, color amarillo miel (sólo sirve para Kindle Paperwhite 5ª, 6ª, y 7ª generaciones)","699.00","$70.94","https://m.media-amazon.com/images/I/91TyJ2-NxXL._AC_UL320_.jpg"
"La Divina Comedia : el infierno, el purgatorio y el paraíso","9.00","$29.00","https://m.media-amazon.com/images/I/41dELQkZ4uL._AC_UL320_.jpg"
"Deja de compararte con los demás: Cómo dejar de sentirte menos y empezar a valorarte de verdad","N/A","N/A","No disponible"
"vantisan Funda para Kindle Paperwhite Gen 2021, Kindle Case para 11th, Estuche para 6.8'' con la función Auto Sleep Wake, Funda con Soporte Plegable con Cielo Estrellado","213.57","$439.00","https://m.media-amazon.com/images/I/81OhFmb7HIL._AC_UL320_.jpg"
"Cubierta de tela para la Kindle Paperwhite (11va generación, 2021)","649.99","$65.97","https://m.media-amazon.com/images/I/619mrZUQXWL._AC_UL320_.jpg"
"Edgar Allan Poe: Novelas Completas","N/A","N/A","No disponible"
"HGGWZWIF Funda para Kindle Paperwhite 12ª Generación 2024 (7 Pulgadas) & Kindle Colorsoft Signature Edition (7 Pulgadas) con Reposo/Activación Automática (Morado)","323.10","$359.00","https://m.media-amazon.com/images/I/81O6ymPyj1L._AC_UL320_.jpg"
"Amazon Basics - Soporte portátil multiángulo para iPad Tablet, lector electrónico y teléfono, color negro","180.00","$18.27","https://m.media-amazon.com/images/I/61mxv1hiMUL._AC_UL320_.jpg"
"Animal Farm (English Edition)","N/A","N/A","No disponible"
"Franz Kafka: Obras completas","N/A","N/A","No disponible"
"Guía de Organización y Limpieza para TDAH: Pasos Simples para Organizar tu Espacio, Aumentar la Productividad y Vencer la Procrastinación","N/A","N/A","No disponible"
"Rebelion en la granja","N/A","N/A","No disponible"
"MXNUP Funda Kindle Paperwhite 11 Generacion - 2021, 6.8 Pulgadas Kindle Case con la Función Auto Sleep Wake, Funda con Soporte Plegable (Cielo Estrellado)","299.00","$439.00","https://m.media-amazon.com/images/I/81dKpQytgTL._AC_UL320_.jpg"
"Fintie Funda para Kindle Paperwhite de 7 Pulgadas (12ª generación, 2024) y Kindle Colorsoft Signature Edition - Funda Protectora Delgada y Ligera de Piel sintética con Reposo/activación automática","229.00","$399.00","https://m.media-amazon.com/images/I/81FvVuB++jL._AC_UL320_.jpg"
"La gramática del miedo y la retórica de la valentía: novel hubs 4u: La gramática del miedo y la retórica de la valentía: novelas imperdibles","N/A","N/A","No disponible"
